City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Talgar,KZ,57.36,broken clouds,43.3027,77.2395,fazenda Umihalyicha
283,Huangnihe,CN,57.76,overcast clouds,43.5583,128.0239,Huangnihe Forestry Bureau Huanglin Hotel
284,Changde,CN,70.03,light rain,29.0464,111.6783,Kangshida Hotel
285,Yeppoon,AU,56.98,clear sky,-23.1333,150.7333,Villa Mar Colina
286,Airai,TL,57.6,broken clouds,-8.9266,125.4092,Juvinal Martin
288,Novoagansk,RU,62.28,broken clouds,61.9449,76.6625,
289,Bowen,AU,64.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
291,Valparaiso,CL,54.52,mist,-33.0393,-71.6273,Hotel Ultramar
292,Gravdal,NO,55.08,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
293,Ahipara,NZ,46.81,clear sky,-35.1667,173.1667,Ahipara Holiday Park
294,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
296,Avera,US,86.94,overcast clouds,33.194,-82.5271,
297,Champerico,GT,89.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
298,Dunedin,NZ,50.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
300,Concepcion Del Oro,MX,70.03,scattered clouds,24.6333,-101.4167,Hotel Hacienda San Javier
301,Ambulu,ID,73.63,few clouds,-8.345,113.6058,Hotel Ambulu Jember
302,Tocopilla,CL,66.18,few clouds,-22.092,-70.1979,Hotel Galvarino
303,Nuuk,GL,46.51,moderate rain,64.1835,-51.7216,Vandrehuset
305,Verkhoyansk,RU,47.91,overcast clouds,67.5447,133.385,
306,Siguiri,GN,79.97,moderate rain,11.6667,-9.5,
307,Palauig,PH,80.73,overcast clouds,15.435,119.9045,Gilbert Resuello
308,Makaha,US,76.91,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
309,Charcas,MX,70.34,scattered clouds,23.1333,-101.1167,Hotel El Malacate
310,Mahebourg,MU,66.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
311,Forestville,US,82.47,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
312,Clyde River,CA,43.03,broken clouds,70.4692,-68.5914,Qamaq Hotel
313,Cherskiy,RU,42.49,overcast clouds,68.75,161.3,Gostinitsa
314,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
315,Quesnel,CA,63.1,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
316,Santa Isabel,BR,75.65,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
317,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
318,Beisfjord,NO,60.04,overcast clouds,68.3751,17.5988,
319,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
320,Springdale,US,83.57,broken clouds,36.1867,-94.1288,Springdale Inn
321,Narsaq,GL,56.82,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
322,Half Moon Bay,US,78.82,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
323,Semey,KZ,63.93,overcast clouds,50.4111,80.2275,Grand Hotel Semey
325,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
326,Kavaratti,IN,81.54,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
327,Ankazoabo,MG,65.68,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
328,Bandarbeyla,SO,83.77,scattered clouds,9.4942,50.8122,JABIR HOTEL
329,San Vicente,AR,75.52,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
330,Anton Lizardo,MX,89.22,scattered clouds,19.05,-95.9833,Hotel CocoAventura
332,Santa Isabel Do Rio Negro,BR,89.51,overcast clouds,-0.4139,-65.0192,Hotel GSA
333,Kahului,US,74.46,light rain,20.8947,-156.47,Maui Seaside Hotel
334,Umba,RU,55.69,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
336,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
337,Vanimo,PG,77.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
338,Norre Alslev,DK,68.81,scattered clouds,54.8978,11.8841,Motel Højmølle Kro
339,Traralgon,AU,51.19,broken clouds,-38.1833,146.5333,Comfort Inn Traralgon
340,Slonim,BY,70.48,broken clouds,53.0867,25.3219,Hostel on Brestskaya 107
341,Sinnamary,GF,77.88,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
342,Sioux Lookout,CA,82.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
343,Sao Jose Da Coroa Grande,BR,77.9,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
345,Ahuimanu,US,76.71,light rain,21.4447,-157.8378,Paradise Bay Resort
346,Viedma,AR,69.08,scattered clouds,-40.8135,-62.9967,Hotel Cristal
347,Kjopsvik,NO,57.16,broken clouds,68.097,16.3742,Stetind Hotell
348,Vila,PT,81.34,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
349,Atbasar,KZ,69.67,clear sky,51.8,68.3333,"The Ritz-Carlton, Astana"
350,Neyshabur,IR,76.05,clear sky,36.2133,58.7958,Amiran Hotel
352,Koslan,RU,65.57,overcast clouds,63.4564,48.8989,
354,Portland,US,82.62,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
