City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
181,Uige,AO,2021-08-15 16:49:59,-7.6087,15.0613,77.99,54,88,1.23,light rain,0,0
182,Coquimbo,CL,2021-08-15 16:47:26,-29.9533,-71.3436,56.93,71,75,3.44,broken clouds,0,0
183,Tobermory,CA,2021-08-15 16:50:00,45.2501,-81.6665,71.31,63,3,15.03,clear sky,0,0
184,Puerto Escondido,MX,2021-08-15 16:50:01,15.85,-97.0667,86.61,62,91,4.03,overcast clouds,0,0
185,Bengkulu,ID,2021-08-15 16:49:17,-3.8004,102.2655,76.12,90,100,3.69,light rain,0,0
186,Samarai,PG,2021-08-15 16:50:01,-10.6167,150.6667,78.21,85,74,17.27,broken clouds,0,0
187,Te Anau,NZ,2021-08-15 16:50:01,-45.4167,167.7167,45.77,86,81,9.06,broken clouds,0,0
188,Khudumelapye,BW,2021-08-15 16:50:02,-23.8833,24.75,64.89,42,0,8.57,clear sky,0,0
189,Morehead,US,2021-08-15 16:50:02,37.2711,-87.1764,78.84,80,90,0.0,overcast clouds,0,0
190,La Jagua Del Pilar,CO,2021-08-15 16:50:04,10.5102,-73.071,86.81,65,98,2.39,overcast clouds,0,0
191,Tselinnoye,RU,2021-08-15 16:50:04,53.0833,85.6667,56.62,89,84,2.42,broken clouds,0,0
192,Caconda,AO,2021-08-15 16:50:05,-13.7333,15.0667,72.81,20,5,3.8,clear sky,0,0
193,Chon Buri,TH,2021-08-15 16:50:05,13.3,101.3,74.62,96,100,6.29,moderate rain,0,0
194,Ust-Kuyga,RU,2021-08-15 16:50:06,70.0167,135.6,41.74,77,92,6.69,overcast clouds,0,0
195,Tuktoyaktuk,CA,2021-08-15 16:50:06,69.4541,-133.0374,51.8,71,90,10.36,overcast clouds,0,0
196,Gazanjyk,TM,2021-08-15 16:50:06,39.2446,55.5154,85.21,11,0,15.48,clear sky,0,0
197,Yaan,NG,2021-08-15 16:50:07,7.3833,8.5667,78.82,87,86,4.65,light rain,0,0
198,Poso,ID,2021-08-15 16:50:07,-1.3959,120.7524,76.06,82,31,7.54,scattered clouds,0,0
199,Nome,US,2021-08-15 16:49:23,64.5011,-165.4064,48.27,93,90,6.91,overcast clouds,0,0
200,Lazaro Cardenas,MX,2021-08-15 16:50:07,17.9583,-102.2,86.2,69,24,2.62,few clouds,0,0
201,Haines Junction,CA,2021-08-15 16:50:08,60.7522,-137.5108,48.15,87,100,6.91,light rain,0,0
202,Miragoane,HT,2021-08-15 16:50:08,18.4423,-73.0876,83.37,73,81,2.73,broken clouds,0,0
203,Los Llanos De Aridane,ES,2021-08-15 16:50:09,28.6585,-17.9182,74.95,78,20,16.11,few clouds,0,0
204,Maniitsoq,GL,2021-08-15 16:50:09,65.4167,-52.9,45.54,96,100,4.56,overcast clouds,0,0
205,Nemuro,JP,2021-08-15 16:50:10,43.3236,145.575,55.47,86,0,7.43,clear sky,0,0
206,Mookane,BW,2021-08-15 16:50:10,-23.688,26.6595,62.98,52,0,8.66,clear sky,0,0
207,Togur,RU,2021-08-15 16:50:10,58.3631,82.8265,64.36,80,100,6.6,light rain,0,0
208,Egvekinot,RU,2021-08-15 16:50:11,66.3167,-179.1667,40.6,74,18,4.32,few clouds,0,0
209,Khatanga,RU,2021-08-15 16:50:11,71.9667,102.5,57.87,48,100,11.27,overcast clouds,0,0
210,Pacific Grove,US,2021-08-15 16:48:43,36.6177,-121.9166,61.43,95,90,4.0,overcast clouds,0,0
211,Le Vauclin,MQ,2021-08-15 16:50:11,14.5452,-60.8388,84.33,83,75,4.61,broken clouds,0,0
212,Assiniboia,CA,2021-08-15 16:50:12,49.6334,-105.9845,80.51,28,76,8.05,broken clouds,0,0
